id,age,education,occupation,income,mobility,health,life_quality
100525,55,Bachelors,Sales,151000,0.119,3,9
377648,35,Doctorate,Other-service,185400,0.027,1,6
87505,22,HS-grad,Handlers-cleaners,187000,0.482,4,7
152237,49,Some-college,Adm-clerical,15965,0.685,2,9
15752,74,Masters,Prof-specialty,190320,0.996,1,7
182567,27,Bachelors,Exec-managerial,165500,0.191,2,6
287059,67,Doctorate,Other-service,240000,0.235,5,2
69921,41,HS-grad,Other-service,17875,0.143,1,6
55596,80,HS-grad,Adm-clerical,184820,0.191,1,5
354267,40,Bachelors,Exec-managerial,174111,0.999,3,8
173451,40,HS-grad,Other-service,18000,0.111,2,4
95226,49,Some-college,Handlers-cleaners,165000,0.941,3,8
2245,41,HS-grad,Handlers-cleaners,19885,0.333,1,9
28134,68,HS-grad,Sales,152110,0.900,3,2
177459,85,Doctorate,Tech-support,193000,0.000,5,6
180324,27,Some-college,Other-service,18500,0.058,2,2
98119,46,Doctorate,Prof-specialty,181489,0.193,3,8
253739,53,HS-grad,Prof-specialty,185000,0.439,4,4
336349,25,Masters,Prof-specialty,181500,0.845,5,8
156887,63,Doctorate,Prof-specialty,199000,0.695,2,1
210204,51,HS-grad,Handlers-cleaners,186000,0.351,3,8
294466,80,Some-college,Other-service,162000,0.931,5,2
139392,68,Doctorate,Exec-managerial,181000,0.124,3,7
104783,22,Masters,Prof-specialty,155500,0.947,5,6
376758,48,Some-college,Exec-managerial,17721,0.517,3,8
174103,35,Masters,Adm-clerical,168000,0.531,4,7
192842,48,Doctorate,Exec-managerial,198500,0.913,5,9
239814,65,Masters,Handlers-cleaners,151350,0.145,3,9
49504,69,Masters,Sales,144999,0.123,2,3
7355,54,Bachelors,Adm-clerical,19720,0.351,1,8
386188,81,Bachelors,Prof-specialty,193960,0.511,5,1
668,85,Doctorate,Exec-managerial,19535,0.235,5,7
109958,46,Some-college,Prof-specialty,19000,0.946,4,6
270698,51,Doctorate,Other-service,190000,0.423,2,9
76311,48,Doctorate,Prof-specialty,179000,0.129,3,6
167746,88,HS-grad,Other-service,190125,0.655,1,3
239817,46,Some-college,Sales,189900,0.982,4,9
326795,47,Masters,Exec-managerial,17500,0.215,2,4
303939,38,Bachelors,Admin-clerical,174400,0.956,5,8
368857,55,Masters,Other-service,172000,0.391,5,6
344671,61,HS-grad,Adm-clerical,156100,0.215,2,7
397847,72,Some-college,Other-service,153375,0.118,4,7
81242,24,Bachelors,Sales,18200,0.123,5,2
308845,42,Bachelors,Exec-managerial,159600,0.509,3,2
154723,21,Some-college,Exec-managerial,16910,0.625,2,9
2748,27,HS-grad,Adm-clerical,16123,0.619,4,8
207022,76,Some-college,Prof-specialty,194876,0.011,5,2
6485,67,Doctorate,Craft-repair,17531,0.876,3,7
84055,27,HS-grad,Exec-managerial,18300,0.935,5,5
346856,41,Bachelors,Sales,198000,0.685,1,8
261761,49,Bachelors,Other-service,175000,0.145,4,7
398771,29,HS-grad,Other-service,15780,0.125,3,3
288531,59,HS-grad,Exec-managerial,169000,0.133,2,8
264990,61,Masters,Adm-clerical,185155,0.419,5,3
14865,81,HS-grad,Other-service,182000,0.142,5,9
188746,45,Some-college,Other-service,177150,0.945,4,2
278963,78,Doctorate,Prof-specialty,195000,0.987,2,8
186156,81,Some-college,Sales,174987,0.235,3,7
369365,61,Masters,Adm-clerical,151000,0.281,3,1
363132,29,Some-college,Adm-clerical,17300,0.234,4,7
337964,51,HS-grad,Adm-clerical,178820,0.875,3,8
88507,59,Some-college,Adm-clerical,165000,0.461,5,8
298961,23,HS-grad,Adm-clerical,19250,0.143,2,4
184635,40,Bachelors,Adm-clerical,188000,0.517,3,7
207464,85,Doctorate,Other-service,172841,0.118,5,8
155554,85,HS-grad,Adm-clerical,18200,0.219,2,6
322082,85,Bachelors,Exec-managerial,170000,0.998,2,6
23423,81,Bachelors,Prof-specialty,18919,0.369,2,9
144283,85,Some-college,Prof-specialty,172650,0.000,4,5
9057,56,Some-college,Prof-specialty,158000,0.459,3,6
198661,65,Bachelors,Prof-specialty,145800,0.129,3,8
348343,85,HS-grad,Other-service,196300,0.021,2,1
32310,46,HS-grad,Prof-specialty,186611,0.369,2,5
294484,29,Masters,Exec-managerial,198000,0.421,3,1
167684,74,Masters,Adm-clerical,186199,0.188,3,1
214909,73,Some-college,Other-service,18490,0.823,4,7
197132,67,Masters,Exec-managerial,168000,0.093,5,8
177412,25,HS-grad,Adm-clerical,15790,0.983,3,5
398880,80,Masters,Other-service,162800,0.115,3,1
46388,62,Doctorate,Exec-managerial,167000,0.641,4,9
380014,64,Bachelors,Adm-clerical,123000,0.625,2,6
313413,56,HS-grad,Adm-clerical,75000,0.109,4,10
3714,85,HS-grad,Adm-clerical,151000,0.021,5,9
380565,47,Doctorate,Exec-managerial,174555,0.275,1,3
160461,28,HS-grad,Other-service,22000,0.025,2,6
227092,26,HS-grad,Other-service,17800,0.133,1,9
142074,48,Doctorate,Adm-clerical,170998,0.654,3,6
6583,78,Some-college,Handlers-cleaners,167000,0.000,2,3
189625,41,Some-college,Craft-repair,195000,0.528,4,2
106996,68,Masters,Prof-specialty,198000,0.625,5,9
307939,46,Some-college,Other-service,167000,0.375,2,7
117027,30,Some-college,Prof-specialty,182440,0.341,4,9
378196,67,HS-grad,Other-service,19800,0.509,1,4
147417,62,Some-college,Prof-specialty,185400,0.234,3,7
390092,46,Some-college,Prof-specialty,164111,0.911,2,2
309825,28,HS-grad,Other-service,154000,0.935,4,7
166942,68,HS-grad,Machine-op-inspct,172000,0.876,3,7
17187,22,Masters,Prof-specialty,157000,0.100,2,1
118454,69,Doctorate,Exec-managerial,16200,0.600,5,3
95760,70,Doctorate,Prof-specialty,156300,0.859,3,6
201163,60,Masters,Prof-specialty,181550,0.124,2,4
228279,61,Some-college,Exec-managerial,180000,0.859,4,6
203672,67,Masters,Exec-managerial,195000,0.998,5,6
243062,44,Doctorate,Exec-managerial,181231,0.511,3,9
168914,65,Some-college,Adm-clerical,158500,0.369,1,4
136021,83,Masters,Prof-specialty,168480,0.216,5,3
16495,63,HS-grad,Other-service,16000,0.258,4,6
357431,46,HS-grad,Craft-repair,17858,0.115,5,6
80742,68,HS-grad,Prof-specialty,18000,0.999,4,4
89690,28,Masters,Handlers-cleaners,155678,0.139,2,5
299897,39,Masters,Handlers-cleaners,180000,0.999,3,10
362848,28,Masters,Exec-managerial,15615,0.876,1,9
385482,78,Masters,Prof-specialty,157234,0.191,5,6
342746,60,Masters,Exec-managerial,199999,0.011,3,7
118486,81,Bachelors,Prof-specialty,198000,0.158,2,7
87038,27,Doctorate,Prof-specialty,163819,0.984,2,7
345687,38,HS-grad,Other-service,163400,0.629,4,9
314566,69,Bachelors,Handlers-cleaners,18739,0.941,2,8
254397,56,Bachelors,Prof-specialty,180000,0.926,3,5
294504,84,Bachelors,Other-service,193459,0.113,1,4
323035,25,Some-college,Handlers-cleaners,16000,0.828,2,6
87375,59,HS-grad,Adm-clerical,175950,0.261,5,4
63205,41,Some-college,Handlers-cleaners,15875,0.145,1,4
371395,33,Some-college,Tech-support,16900,0.489,2,6
269335,73,HS-grad,Other-service,175000,0.017,2,10
320610,59,Bachelors,Exec-managerial,165380,0.838,4,5
55447,55,Bachelors,Sales,15458,0.527,4,6
325685,22,HS-grad,Machine-op-inspct,15100,0.219,1,5
76411,40,HS-grad,Handlers-cleaners,120000,0.025,2,6
115830,63,Masters,Prof-specialty,171279,0.509,3,6
82013,73,HS-grad,Adm-clerical,193500,0.998,2,4
99056,38,Bachelors,Sales,16000,0.468,2,10
268027,65,Some-college,Adm-clerical,165250,0.419,3,8
362486,87,HS-grad,Sales,184430,0.999,2,1
395780,67,Some-college,Adm-clerical,191741,0.359,5,8
365152,62,Doctorate,Exec-managerial,198000,0.813,2,3
8740,72,Bachelors,Adm-clerical,190000,0.476,2,6
21786,68,HS-grad,Other-service,185000,0.351,4,9
298937,51,Bachelors,Handlers-cleaners,180000,0.469,4,5
341124,89,Doctorate,Machine-op-inspct,19000,0.821,4,9
323455,59,Some-college,Handlers-cleaners,184191,0.685,5,4
386126,52,Some-college,Sales,17800,0.528,4,5
214354,55,Masters,Exec-managerial,181200,0.509,2,8
190434,55,Bachelors,Handlers-cleaners,165000,0.351,1,1
360511,50,HS-grad,Prof-specialty,178000,0.111,1,6
83691,35,HS-grad,Craft-repair,24500,0.444,3,5
164982,67,HS-grad,Adm-clerical,145000,0.928,4,6
318573,88,Some-college,Prof-specialty,200000,0.000,4,7
143087,65,HS-grad,Other-service,183000,0.415,4,8
262372,51,Doctorate,Prof-specialty,185000,0.695,2,9
182524,81,Masters,Admin-clerical,175000,0.633,3,6
168182,26,Bachelors,Adm-clerical,199500,0.111,5,10
113825,72,Some-college,Prof-specialty,175000,0.511,5,7
332966,76,Bachelors,Adm-clerical,153000,0.025,2,6
307240,58,HS-grad,Sales,140000,0.236,3,9
209080,67,Doctorate,Prof-specialty,196250,0.600,5,8
361275,29,Masters,Prof-specialty,170000,0.998,3,7
396783,67,Some-college,Exec-managerial,180000,0.142,2,6
142101,45,HS-grad,Other-service,15000,0.000,2,7
228292,42,Bachelors,Prof-specialty,18755,0.621,5,3
91194,38,Masters,Prof-specialty,183000,0.005,4,6
83528,36,Some-college,Exec-managerial,167111,0.375,4,7
393927,33,Bachelors,Prof-specialty,180000,0.000,4,3
327899,63,Masters,Prof-specialty,199419,0.528,2,9
207566,58,Some-college,Other-service,17839,0.946,2,5
343160,71,HS-grad,Exec-managerial,19123,0.059,5,3
392474,67,Doctorate,Adm-clerical,194000,0.400,2,4
99691,43,HS-grad,Prof-specialty,145000,0.234,2,8
179215,70,Masters,Handlers-cleaners,153814,0.895,3,7
359112,59,Some-college,Sales,18317,0.999,2,5
50366,70,HS-grad,Handlers-cleaners,163115,0.911,3,7
123132,27,Some-college,Exec-managerial,15500,0.935,5,9
15116,60,Bachelors,Exec-managerial,156200,0.982,3,6
374144,21,Some-college,Sales,18951,0.219,1,2
253498,53,Doctorate,Prof-specialty,192417,0.917,4,6
324917,31,Some-college,Machine-op-inspct,165400,0.191,3,5
359938,68,Some-college,Prof-specialty,170000,0.459,2,5
46401,58,Bachelors,Prof-specialty,171000,0.161,2,5
302163,72,Some-college,Handlers-cleaners,16141,0.115,2,9
144078,35,Doctorate,Exec-managerial,144691,0.193,5,2
32216,41,HS-grad,Craft-repair,16430,0.195,2,9
279620,38,Some-college,Other-service,164000,0.191,4,9
203004,69,HS-grad,Exec-managerial,181000,0.638,3,3
141480,61,Some-college,Other-service,15000,0.239,3,7
82867,49,HS-grad,Exec-managerial,180000,0.285,5,3
125371,25,HS-grad,Prof-specialty,170000,0.142,5,8
360452,64,Some-college,Exec-managerial,181245,0.855,3,7
97941,29,HS-grad,Other-service,17550,0.175,2,4
270771,45,HS-grad,Craft-repair,21500,0.142,3,7
396192,72,Bachelors,Adm-clerical,199920,0.109,1,3
128220,62,Bachelors,Exec-managerial,199500,0.611,5,8
351494,21,Doctorate,Exec-managerial,17650,0.222,2,8
2619,68,Some-college,Exec-managerial,170000,0.427,2,5
367171,40,HS-grad,Craft-repair,30000,0.000,3,2
50878,59,Bachelors,Exec-managerial,198850,0.134,2,8
75100,49,HS-grad,Tech-support,169875,0.457,4,5
111952,28,Some-college,Adm-clerical,16469,0.961,5,6
280020,30,Bachelors,Adm-clerical,19233,0.456,1,6
374781,45,HS-grad,Prof-specialty,17680,0.141,5,2
293687,22,Doctorate,Adm-clerical,180000,0.118,2,7
144536,64,Bachelors,Prof-specialty,148400,0.421,2,10
218033,65,Bachelors,Adm-clerical,168000,0.144,4,3
196614,71,HS-grad,Other-service,142211,0.118,4,6
63168,23,HS-grad,Handlers-cleaners,190123,0.812,2,4
356296,57,Masters,Exec-managerial,198419,0.633,4,10
83474,20,Bachelors,Handlers-cleaners,16349,0.351,3,5
156696,81,Bachelors,Exec-managerial,192000,0.451,2,7
398623,56,Masters,Exec-managerial,180000,0.945,1,8
15777,21,Some-college,Sales,19500,0.185,5,1
186423,48,Masters,Exec-managerial,161000,0.421,4,7
287445,42,HS-grad,Adm-clerical,155000,0.533,1,10
354072,71,Some-college,Prof-specialty,154000,0.528,4,5
368526,41,Some-college,Prof-specialty,193400,0.216,4,6
297556,29,Bachelors,Other-service,180000,0.994,2,10
11441,22,HS-grad,Adm-clerical,18613,0.419,3,6
345767,63,Doctorate,Other-service,164000,0.000,1,6
139765,28,Doctorate,Exec-managerial,199855,0.625,4,5
215772,83,Doctorate,Exec-managerial,171143,0.983,4,6
97914,52,Some-college,Sales,19138,0.025,3,3
196523,51,Bachelors,Exec-managerial,157782,0.281,3,8
371249,48,HS-grad,Prof-specialty,180360,0.695,3,9
270868,60,Masters,Prof-specialty,195000,0.359,2,4
125850,51,Bachelors,Prof-specialty,181700,0.513,5,10
198867,62,Some-college,Other-service,17635,0.958,1,2
283178,52,HS-grad,Prof-specialty,17900,0.931,2,9
69457,71,HS-grad,Other-service,19315,0.391,4,9
64407,61,HS-grad,Sales,16500,0.523,2,7
303072,75,Masters,Prof-specialty,185275,0.995,5,6
100792,59,Some-college,Exec-managerial,174235,0.511,5,10
367921,47,HS-grad,Prof-specialty,134200,0.231,4,5
30526,49,Bachelors,Exec-managerial,170000,0.567,3,10
59999,81,Some-college,Other-service,185000,0.695,3,3
254976,34,HS-grad,Prof-specialty,162231,0.193,4,7
281,59,HS-grad,Adm-clerical,18270,0.141,2,7
263576,33,HS-grad,Handlers-cleaners,167000,0.926,2,4
248328,57,Some-college,Sales,173200,0.519,3,9
192749,71,Doctorate,Prof-specialty,196811,70.312,5,2
308713,30,Bachelors,Prof-specialty,143145,0.946,3,7
342408,56,Some-college,Other-service,145555,0.983,2,10
181831,48,HS-grad,Other-service,18291,0.059,2,1
104431,39,Some-college,Adm-clerical,19800,0.111,2,8
155477,90,Bachelors,Prof-specialty,199983,0.432,4,6
107048,39,Bachelors,Exec-managerial,16423,0.525,3,6
194190,57,Some-college,Other-service,16255,0.952,1,1
230097,51,Bachelors,Prof-specialty,194654,0.193,3,3
169745,35,Some-college,Exec-managerial,16637,0.191,2,8
160078,45,Doctorate,Exec-managerial,19981,0.567,4,5
87152,54,Some-college,Other-service,175000,0.913,5,6
148685,71,HS-grad,Exec-managerial,120000,0.100,3,1
360773,27,Doctorate,Prof-specialty,169989,0.235,1,7
139022,58,HS-grad,Other-service,17000,0.000,3,4
48356,58,Some-college,Adm-clerical,177000,0.855,4,5
249038,71,Bachelors,Other-service,160000,0.109,1,3
354076,58,HS-grad,Craft-repair,169000,0.982,1,6
183187,39,Bachelors,Exec-managerial,154800,0.685,4,5
321613,48,Masters,Adm-clerical,183145,0.528,3,5
38226,54,HS-grad,Sales,17115,0.531,3,5
324204,76,Bachelors,Handlers-cleaners,15000,0.234,1,1
294438,54,Bachelors,Adm-clerical,176000,0.394,3,4
384446,70,HS-grad,Adm-clerical,19995,0.983,1,3
54265,69,Doctorate,Exec-managerial,19673,0.219,2,5
202721,35,Bachelors,Exec-managerial,175000,0.625,3,8
32695,85,Doctorate,Adm-clerical,190000,0.191,1,4
23447,62,Some-college,Exec-managerial,16100,0.625,1,3
31486,54,Doctorate,Other-service,18317,0.511,1,1
40338,22,Some-college,Tech-support,18100,0.624,4,7
271987,55,HS-grad,Handlers-cleaners,167740,0.185,4,5
196946,41,HS-grad,Other-service,144495,0.638,2,2
259965,91,Doctorate,Adm-clerical,184155,0.395,5,8
37571,25,HS-grad,Other-service,17000,0.333,3,4
155748,59,HS-grad,Handlers-cleaners,158111,0.419,4,9
45430,45,Masters,Handlers-cleaners,18048,0.351,3,1
372539,49,Some-college,Prof-specialty,176000,0.456,2,6
308234,44,Masters,Exec-managerial,193550,0.191,2,6
207780,64,Doctorate,Handlers-cleaners,170000,0.942,5,6
104276,84,Bachelors,Other-service,17132,0.854,1,6
134268,47,Bachelors,Other-service,16900,0.851,3,9
360872,79,Doctorate,Prof-specialty,135000,0.982,5,8
394527,24,Bachelors,Other-service,178000,0.695,4,6
236878,67,HS-grad,Sales,183000,0.431,1,2
167303,46,Masters,Prof-specialty,169000,0.115,2,7
155777,59,HS-grad,Adm-clerical,160000,0.623,5,8
358335,32,HS-grad,Handlers-cleaners,175000,0.275,2,7
51111,55,Some-college,Prof-specialty,17250,0.175,5,8
349271,30,Doctorate,Prof-specialty,179000,0.059,3,9
197465,71,Doctorate,Exec-managerial,17456,0.113,1,10
200057,29,HS-grad,Sales,161000,0.900,1,9
393427,41,Doctorate,Prof-specialty,198999,0.928,5,10
228263,41,Doctorate,Other-service,171000,0.638,2,6
247459,54,Masters,Prof-specialty,181135,0.955,3,5
207286,62,HS-grad,Exec-managerial,173000,0.805,5,1
343329,68,HS-grad,Machine-op-inspct,198000,0.191,3,7
334486,80,HS-grad,Other-service,19620,0.841,1,2
178410,58,Bachelors,Adm-clerical,15600,0.628,2,8
344403,24,HS-grad,Handlers-cleaners,169000,0.900,1,5
146706,39,Masters,Prof-specialty,198000,0.621,3,5
289729,36,Some-college,Sales,189531,0.216,5,1
312334,44,Bachelors,Exec-managerial,181442,0.700,4,4
21178,71,Doctorate,Other-service,172000,0.118,1,4
86859,19,Some-college,Prof-specialty,156000,0.671,3,1
134006,19,Some-college,Handlers-cleaners,140000,0.983,3,8
273120,51,Some-college,Other-service,169550,0.128,3,4
212929,70,Doctorate,Exec-managerial,120000,0.931,5,4
187648,71,HS-grad,Prof-specialty,172000,0.941,5,8
51870,61,Some-college,Exec-managerial,190000,0.175,1,5
72406,85,Some-college,Other-service,196000,0.876,1,6
103319,90,Bachelors,Tech-support,120000,0.627,2,9
384829,51,Masters,Exec-managerial,200000,0.179,5,10
40463,67,Doctorate,Prof-specialty,196000,0.123,4,7
10217,55,Some-college,Machine-op-inspct,162999,0.011,2,5
159058,83,Bachelors,Sales,186555,0.655,5,8
64427,53,Masters,Other-service,183123,0.531,1,4
321867,34,Masters,Other-service,191000,0.511,3,4
274105,55,Masters,Handlers-cleaners,19100,0.953,4,6
28671,59,HS-grad,Other-service,17800,0.231,4,7
282368,46,Some-college,Machine-op-inspct,173000,0.394,5,6
277618,55,Bachelors,Exec-managerial,184778,0.467,4,4
37793,58,Masters,Exec-managerial,198000,0.638,5,10
79433,71,Bachelors,Exec-managerial,151199,0.105,2,5
59355,85,HS-grad,Prof-specialty,165000,0.985,5,2
49178,19,HS-grad,Machine-op-inspct,19031,0.111,2,6
124735,65,Doctorate,Exec-managerial,172000,0.369,4,8
259595,44,HS-grad,Sales,159011,0.025,3,3
368078,62,Masters,Exec-managerial,192000,0.845,5,10
94259,88,HS-grad,Other-service,177800,0.055,3,3
52044,67,Masters,Prof-specialty,157000,0.445,4,8
182434,83,Masters,Craft-repair,188819,0.493,3,8
135465,19,HS-grad,Other-service,181000,0.419,5,10
175003,67,Doctorate,Prof-specialty,18871,0.155,4,8
96698,56,Masters,Exec-managerial,148000,0.383,5,1
292198,69,Masters,Prof-specialty,189000,0.678,5,7
364264,73,Doctorate,Exec-managerial,189000,0.489,5,9
207419,57,Masters,Exec-managerial,195000,0.639,4,6
202400,53,Doctorate,Exec-managerial,191000,0.493,1,5
76157,45,Some-college,Other-service,19000,0.941,5,6
291888,70,Some-college,Other-service,152000,0.013,5,1
100104,84,HS-grad,Exec-managerial,165677,0.982,1,5
11818,63,HS-grad,Machine-op-inspct,177750,0.983,2,7
219324,47,HS-grad,Exec-managerial,189121,0.219,1,3
1708,55,HS-grad,Handlers-cleaners,173050,0.995,4,5
91020,60,HS-grad,Exec-managerial,19261,0.001,2,6
363542,45,Bachelors,Exec-managerial,157000,0.625,3,8
279168,57,Doctorate,Prof-specialty,184000,0.743,3,1
15671,25,HS-grad,Adm-clerical,16500,0.125,2,4
388765,81,Masters,Other-service,18750,0.234,3,5
207753,23,HS-grad,Sales,16900,0.219,3,4
34090,71,Doctorate,Prof-specialty,165500,0.853,2,6
384099,54,HS-grad,Handlers-cleaners,190000,0.000,1,7
327545,83,Bachelors,Adm-clerical,17500,0.512,5,8
47908,23,Some-college,Adm-clerical,16000,0.129,3,7
183207,75,Masters,Prof-specialty,163911,0.964,1,7
98099,41,Doctorate,Prof-specialty,19000,0.456,2,5
346735,22,Some-college,Adm-clerical,154000,0.191,1,3
218494,56,Bachelors,Prof-specialty,153000,0.511,5,1
135540,76,Masters,Other-service,195000,0.971,4,3
59996,78,HS-grad,Exec-managerial,172000,0.017,2,5
300867,76,Bachelors,Other-service,164511,0.938,3,8
56848,59,Some-college,Prof-specialty,163800,0.935,2,9
7503,38,Bachelors,Handlers-cleaners,19200,0.800,5,9
65255,53,Bachelors,Adm-clerical,184000,0.281,5,3
122105,59,Doctorate,Exec-managerial,195000,0.383,5,9
359190,73,Bachelors,Adm-clerical,162151,0.931,5,6
351207,91,Doctorate,Adm-clerical,16523,0.421,2,9
64104,42,Bachelors,Sales,18592,0.823,5,3
72881,24,HS-grad,Sales,32500,0.125,2,7
29609,78,Doctorate,Sales,19791,0.666,3,8
253480,67,Doctorate,Adm-clerical,200000,0.421,5,8
188619,55,HS-grad,Prof-specialty,191100,0.382,2,6
54980,47,Doctorate,Craft-repair,185000,0.655,3,5
259364,51,Some-college,Adm-clerical,180000,0.600,1,7
54239,56,Masters,Exec-managerial,16621,0.999,2,9
354668,42,HS-grad,Exec-managerial,19547,0.625,3,2
28839,85,HS-grad,Other-service,17349,0.439,1,8
31969,52,Bachelors,Adm-clerical,195000,0.319,5,5
60043,44,Some-college,Adm-clerical,19820,0.989,4,8
154940,67,Bachelors,Other-service,199977,0.000,2,9
14914,27,Bachelors,Prof-specialty,181000,0.542,5,9
191605,42,Bachelors,Exec-managerial,168000,0.623,5,9
311388,43,HS-grad,Exec-managerial,19550,0.700,4,9
11482,56,Bachelors,Prof-specialty,158000,0.191,3,9
169154,73,Masters,Exec-managerial,17249,0.955,4,4
109534,81,Doctorate,Exec-managerial,180000,0.998,3,7
202398,49,Bachelors,Adm-clerical,199000,0.275,4,6
287491,59,HS-grad,Other-service,19641,0.176,2,8
148130,48,HS-grad,Other-service,149015,0.982,3,8
303181,29,HS-grad,Prof-specialty,164000,0.191,4,8
99535,71,HS-grad,Adm-clerical,194151,0.956,2,9
80666,74,Some-college,Other-service,170000,0.113,4,8
180043,29,Some-college,Adm-clerical,20000,0.876,5,6
22660,55,Doctorate,Adm-clerical,17300,0.853,3,8
209186,47,Some-college,Sales,164300,0.828,3,8
221624,67,HS-grad,Handlers-cleaners,19300,0.421,2,7
192000,75,HS-grad,Other-service,185000,0.275,5,8
228199,41,Doctorate,Exec-managerial,170000,0.421,1,6
213909,84,HS-grad,Handlers-cleaners,197000,0.937,5,10
157678,67,Some-college,Adm-clerical,169875,0.511,2,7
71574,57,Doctorate,Prof-specialty,15819,0.191,1,2
274744,24,Bachelors,Exec-managerial,187900,0.854,4,5
42356,67,Doctorate,Exec-managerial,195400,0.115,5,4
15829,85,HS-grad,Exec-managerial,19500,0.145,1,6
300768,22,Some-college,Sales,166000,0.991,3,6
